INSTNM,SCH_DEG,PREDDEG,CONTROL,CCBASIC,ADM_RATE,ACTCM25,ACTCM75,ACTMTMID,ACTWRMID,SAT_AVG,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,labels
UPMC St. Margaret School of Nursing,1.0,1.0,2.0,-2.0,0.3846,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
United Lutheran Seminary,3.0,4.0,2.0,24.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Luzerne County Community College,2.0,2.0,1.0,7.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,7219.0,7521.0,10377.0,12839.0,13057.0,2
Lycoming College,3.0,3.0,2.0,21.0,0.6548,20.0,26.0,22.0,7.74,1117.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Manor College,2.0,2.0,2.0,4.0,0.9095,20.59856630824373,26.247311827956988,22.647673314339986,7.74,905.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Mansfield University of Pennsylvania,3.0,3.0,1.0,21.0,0.9602,16.0,22.0,19.0,7.74,1041.0,9043.0,8868.0,10341.0,14829.0,18701.0,1
Marywood University,3.0,3.0,2.0,18.0,0.8203,22.0,26.0,23.0,7.74,1102.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Vet Tech Institute,2.0,2.0,3.0,10.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Roxborough Memorial Hospital School of Nursing,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Mercyhurst University,3.0,3.0,2.0,19.0,0.8802,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Messiah University,3.0,3.0,2.0,19.0,0.7752,23.0,29.0,25.0,7.74,1205.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
ASPIRA City College,1.0,2.0,2.0,11.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Millersville University of Pennsylvania,3.0,3.0,1.0,18.0,0.8455,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1095.0,17224.0,18798.0,22731.0,25613.0,26482.0,1
Misericordia University,3.0,3.0,2.0,17.0,0.8329,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Montgomery County Community College,2.0,2.0,1.0,5.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,5755.0,6993.0,9691.0,12130.0,12519.0,2
Moore College of Art and Design,3.0,3.0,2.0,30.0,0.5004,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Moravian University,3.0,3.0,2.0,21.0,0.8009999999999999,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Mount Aloysius College,3.0,3.0,2.0,22.0,0.9524,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Muhlenberg College,3.0,3.0,2.0,21.0,0.6218,26.0,31.0,26.0,7.74,1280.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Neumann University,3.0,3.0,2.0,18.0,0.8034,16.0,21.0,19.0,7.74,991.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
New Castle School of Trades,2.0,2.0,3.0,7.0,1.0,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Northampton County Area Community College,2.0,2.0,1.0,4.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,7658.0,8047.0,10664.0,13933.0,14479.0,2
Heritage Valley Kennedy School of Nursing,1.0,1.0,2.0,-2.0,0.6833,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Orleans Technical College,1.0,1.0,2.0,13.0,0.6226,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Salus University,3.0,4.0,2.0,26.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pennsylvania Institute of Technology,1.0,2.0,2.0,10.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Peirce College,3.0,3.0,2.0,22.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Penn Commercial Business/Technical School,1.0,1.0,3.0,7.0,0.9065,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pennco Tech-Bristol,1.0,1.0,3.0,11.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pennsylvania Academy of the Fine Arts,3.0,3.0,2.0,30.0,0.8779,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Pennsylvania Gunsmith School,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Cortiva Institute,1.0,1.0,3.0,-2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Pennsylvania College of Art and Design,3.0,3.0,2.0,30.0,0.4709,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
